cell_line,3mer,4mer,5mer,6mer,DeepM6ASeq,iMRM,SCRAMP,WHISTLE
A549,0.9283,0.9273,0.924,0.9252,0.869202461,0.750506146,0.728047649,0.775840524
CD8T,0.9307,0.9325,0.9295,0.9325,0.933378269,0.712479843,0.315885694,0.747001487
ESC,0.983,0.9817,0.9836,0.9823,0.960877746,0.639298136,0.17163612,0.256898843
HCT116,0.9394,0.938,0.9367,0.9372,0.852563044,0.692209513,0.168709688,0.602040443
HEK293,0.932,0.9334,0.9322,0.933,0.920820444,0.724719799,0.647660975,0.734532445
HEK293T,0.9294,0.9306,0.9288,0.9304,0.931805623,0.668301804,0.126406372,0.489596147
Hela,0.9329,0.9341,0.9309,0.9304,0.932687876,0.701322619,0.182636341,0.641953407
HepG2,0.9315,0.9321,0.9307,0.9321,0.930636115,0.683923979,0.075413446,0.387805985
MOLM13,0.9307,0.9328,0.9302,0.9309,0.929189569,0.7764678,0.756852501,0.843205692
