,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,
10,fold_10,0.962387854,0.977997724,0.962349079,0.926686352,0.964300472,0.962387854,,,,,,,,,,,,,,
11,mean,0.965286404,0.979047561,0.965250768,0.932457461,0.967173041,0.965286404,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002972597,0.002616553,0.002982623,0.005597383,0.002626666,0.002972597,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,ESC,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.991182954,0.994324148,0.991182378,0.982494276,0.99131133,0.991182954,,,,,,,,,,,,,,
2,fold_2,0.991917708,0.994765216,0.991917354,0.983921471,0.992003767,0.991917708,,,,,,,,,,,,,,
3,fold_3,0.990080823,0.994491236,0.990079847,0.980354579,0.990273775,0.990080823,,,,,,,,,,,,,,
4,fold_4,0.9952241,0.998046775,0.995224022,0.990480551,0.995256452,0.9952241,,,,,,,,,,,,,,
5,fold_5,0.988243938,0.989171693,0.988242313,0.9767579,0.988513999,0.988243938,,,,,,,,,,,,,,
6,fold_6,0.989713446,0.993087861,0.989712646,0.979579209,0.989865775,0.989713446,,,,,,,,,,,,,,
7,fold_7,0.992285084,0.99640802,0.992284625,0.984687393,0.992402315,0.992285084,,,,,,,,,,,,,,
8,fold_8,0.992652461,0.996020668,0.992652065,0.985411326,0.99275887,0.992652461,,,,,,,,,,,,,,
9,fold_9,0.988611315,0.992731821,0.988609838,0.977476225,0.988864943,0.988611315,,,,,,,,,,,,,,
10,fold_10,0.990815577,0.99439379,0.990814802,0.981796804,0.990981241,0.990815577,,,,,,,,,,,,,,
11,mean,0.991072741,0.994344123,0.991071989,0.982295973,0.991223247,0.991072741,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002078559,0.002401705,0.002079019,0.004087819,0.002009325,0.002078559,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HCT116,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.961775586,0.974449653,0.961723209,0.926089098,0.964316999,0.961775586,,,,,,,,,,,,,,
2,fold_2,0.972872996,0.982451526,0.97285302,0.947140973,0.974269006,0.972872996,,,,,,,,,,,,,,
3,fold_3,0.969173859,0.983047523,0.96914684,0.939995568,0.970823155,0.969173859,,,,,,,,,,,,,,
4,fold_4,0.969790382,0.979269325,0.969762787,0.941300436,0.971511628,0.969790382,,,,,,,,,,,,,,
5,fold_5,0.964241677,0.976746979,0.964195896,0.930866926,0.966628308,0.964241677,,,,,,,,,,,,,,
6,fold_6,0.963008631,0.969711321,0.962957944,0.928561966,0.965556831,0.963008631,,,,,,,,,,,,,,
7,fold_7,0.971023428,0.982711514,0.970999077,0.943632815,0.972610723,0.971023428,,,,,,,,,,,,,,
8,fold_8,0.966707768,0.973060766,0.966673516,0.935340186,0.968634402,0.966707768,,,,,,,,,,,,,,
9,fold_9,0.974106042,0.983293828,0.974088668,0.949486194,0.975381008,0.974106042,,,,,,,,,,,,,,
10,fold_10,0.963625154,0.97588035,0.963576962,0.929713836,0.966091954,0.963625154,,,,,,,,,,,,,,
11,mean,0.967632552,0.978062279,0.967597792,0.9372128,0.969582401,0.967632552,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.004371567,0.004817274,0.004384791,0.008256034,0.003883848,0.004371567,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HEK293,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.962650602,0.980737524,0.962608655,0.92738431,0.964736052,0.962650602,,,,,,,,,,,,,,
2,fold_2,0.968674699,0.981022964,0.968650205,0.938817548,0.970143999,0.968674699,,,,,,,,,,,,,,
3,fold_3,0.965301205,0.981326753,0.965270199,0.93226853,0.966968817,0.965301205,,,,,,,,,,,,,,
4,fold_4,0.967228916,0.983518305,0.967199632,0.936130855,0.968903437,0.967228916,,,,,,,,,,,,,,
5,fold_5,0.963373494,0.977621251,0.963334117,0.928743973,0.96537263,0.963373494,,,,,,,,,,,,,,
6,fold_6,0.965542169,0.982449006,0.965511873,0.932724472,0.967183748,0.965542169,,,,,,,,,,,,,,
7,fold_7,0.966746988,0.979339817,0.966720082,0.935007064,0.968261302,0.966746988,,,,,,,,,,,,,,
8,fold_8,0.963855422,0.978495689,0.963818817,0.92959369,0.965740179,0.963855422,,,,,,,,,,,,,,
9,fold_9,0.963614458,0.979092931,0.963575914,0.929197571,0.965585203,0.963614458,,,,,,,,,,,,,,
10,fold_10,0.969638554,0.983348643,0.969620915,0.940369768,0.970731849,0.969638554,,,,,,,,,,,,,,
11,mean,0.965662651,0.980695288,0.965631041,0.933023778,0.967362722,0.965662651,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002367094,0.002035407,0.002374488,0.004451022,0.002084521,0.002367094,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HEK293T,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.965870921,0.983185731,0.965843195,0.933258183,0.967388495,0.965870921,,,,,,,,,,,,,,
2,fold_2,0.963831574,0.979894867,0.963795399,0.929522537,0.965692827,0.963831574,,,,,,,,,,,,,,
3,fold_3,0.962991843,0.980694059,0.96295622,0.927769737,0.964779617,0.962991843,,,,,,,,,,,,,,
4,fold_4,0.965391075,0.980616853,0.965356196,0.932662021,0.967272845,0.965391075,,,,,,,,,,,,,,
5,fold_5,0.963471689,0.980824713,0.963435707,0.928773144,0.965303261,0.963471689,,,,,,,,,,,,,,
6,fold_6,0.96425144,0.979083816,0.964220785,0.930098007,0.965847938,0.96425144,,,,,,,,,,,,,,
7,fold_7,0.965331094,0.981787572,0.965299382,0.932367879,0.967038348,0.965331094,,,,,,,,,,,,,,
8,fold_8,0.96431142,0.980495222,0.964283156,0.930096076,0.965785824,0.96431142,,,,,,,,,,,,,,
9,fold_9,0.964551344,0.98279469,0.964521813,0.930653269,0.966103219,0.964551344,,,,,,,,,,,,,,
10,fold_10,0.963471689,0.980354847,0.963431164,0.929004675,0.965535278,0.963471689,,,,,,,,,,,,,,
11,mean,0.964347409,0.980973237,0.964314302,0.930420553,0.966074765,0.964347409,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.000946777,0.001266959,0.00094937,0.001816095,0.000877817,0.000946777,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,Hela,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.966173362,0.980282724,0.966146075,0.933853318,0.967681174,0.966173362,,,,,,,,,,,,,,
2,fold_2,0.967532468,0.979224045,0.967501322,0.936862365,0.969331625,0.967532468,,,,,,,,,,,,,,
3,fold_3,0.962549079,0.976005501,0.962499821,0.927538088,0.964992227,0.962549079,,,,,,,,,,,,,,
4,fold_4,0.965418303,0.977700655,0.965379743,0.932917086,0.967501109,0.965418303,,,,,,,,,,,,,,
5,fold_5,0.968287526,0.980511818,0.968260844,0.938153731,0.969867535,0.968287526,,,,,,,,,,,,,,
6,fold_6,0.966475385,0.980807228,0.966445386,0.934623429,0.968149544,0.966475385,,,,,,,,,,,,,,
7,fold_7,0.96602235,0.97964675,0.965987159,0.93397933,0.967958989,0.96602235,,,,,,,,,,,,,,
8,fold_8,0.964965267,0.976386428,0.964926555,0.931990161,0.967027175,0.964965267,,,,,,,,,,,,,,
9,fold_9,0.966777409,0.980226077,0.966744598,0.935402409,0.968626828,0.966777409,,,,,,,,,,,,,,
10,fold_10,0.961189973,0.97435436,0.961135021,0.924999378,0.963813124,0.961189973,,,,,,,,,,,,,,
11,mean,0.965539112,0.978514559,0.965502653,0.93303193,0.967494933,0.965539112,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002180016,0.002257834,0.002188922,0.004033637,0.001855937,0.002180016,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.966029724,0.976850913,0.965991292,0.93417319,0.968145862,0.966029724,,,,,,,,,,,,,,
2,fold_2,0.960898797,0.971321051,0.960838923,0.924629269,0.963734821,0.960898797,,,,,,,,,,,,,,
3,fold_3,0.964791224,0.973662005,0.964750122,0.931757907,0.966969228,0.964791224,,,,,,,,,,,,,,
4,fold_4,0.966206653,0.974729085,0.966168823,0.934505575,0.96830127,0.966206653,,,,,,,,,,,,,,
5,fold_5,0.966383581,0.974405655,0.966346347,0.934838062,0.96845678,0.966383581,,,,,,,,,,,,,,
6,fold_6,0.964614296,0.971858536,0.964569932,0.931564433,0.966953073,0.964614296,,,,,,,,,,,,,,
7,fold_7,0.964968153,0.97474073,0.964926832,0.932135283,0.96716973,0.964968153,,,,,,,,,,,,,,
8,fold_8,0.965852795,0.974644628,0.965812932,0.933886018,0.968035773,0.965852795,,,,,,,,,,,,,,
9,fold_9,0.964260439,0.971832929,0.964216524,0.930808321,0.966550699,0.964260439,,,,,,,,,,,,,,
10,fold_10,0.96532201,0.974684571,0.965280257,0.932890444,0.967571145,0.96532201,,,,,,,,,,,,,,
11,mean,0.964932767,0.97387301,0.964890198,0.93211885,0.967188838,0.964932767,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.001590827,0.001721385,0.00159727,0.002967947,0.001377041,0.001590827,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,MOLM13,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.965536565,0.985818701,0.965514145,0.932286104,0.966750329,0.965536565,,,,,,,,,,,,,,
2,fold_2,0.964836089,0.985665181,0.964802957,0.931427365,0.966592933,0.964836089,,,,,,,,,,,,,,
3,fold_3,0.963295041,0.98442713,0.963268465,0.927933808,0.964639742,0.963295041,,,,,,,,,,,,,,
4,fold_4,0.964695993,0.985022368,0.964663033,0.931130612,0.966436245,0.964695993,,,,,,,,,,,,,,
5,fold_5,0.964275707,0.983099267,0.964250644,0.929856146,0.965581355,0.964275707,,,,,,,,,,,,,,
6,fold_6,0.963995517,0.984029101,0.963968627,0.929379271,0.965384792,0.963995517,,,,,,,,,,,,,,
7,fold_7,0.966797422,0.988192666,0.966775585,0.934824532,0.96802792,0.966797422,,,,,,,,,,,,,,
8,fold_8,0.966096946,0.983992791,0.966073412,0.933489888,0.967393843,0.966096946,,,,,,,,,,,,,,
9,fold_9,0.964695993,0.985923507,0.964664824,0.931035975,0.966341435,0.964695993,,,,,,,,,,,,,,
10,fold_10,0.962874755,0.984073418,0.962845877,0.927191926,0.964318295,0.962874755,,,,,,,,,,,,,,
11,mean,0.964710003,0.985024413,0.964682757,0.930855563,0.966146689,0.964710003,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
