,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
3,fold_3,0.9698,0.9836,0.9698,0.9412,0.9714,0.9698,,,,,,,,,,,,,,
4,fold_4,0.9692,0.9793,0.9691,0.9401,0.971,0.9692,,,,,,,,,,,,,,
5,fold_5,0.9667,0.9757,0.9667,0.9355,0.9688,0.9667,,,,,,,,,,,,,,
6,fold_6,0.9636,0.9708,0.9636,0.9297,0.9661,0.9636,,,,,,,,,,,,,,
7,fold_7,0.9723,0.981,0.9722,0.946,0.9737,0.9723,,,,,,,,,,,,,,
8,fold_8,0.9661,0.9759,0.9661,0.9343,0.9682,0.9661,,,,,,,,,,,,,,
9,fold_9,0.9735,0.9806,0.9735,0.9483,0.9748,0.9735,,,,,,,,,,,,,,
10,fold_10,0.9673,0.9729,0.9673,0.9367,0.9693,0.9673,,,,,,,,,,,,,,
11,mean,0.9681,0.9775,0.968,0.938,0.97,0.9681,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.003303887,0.004828262,0.003284374,0.006192513,0.00289513,0.003303887,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HEK293,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9634,0.9812,0.9633,0.9289,0.9655,0.9634,,,,,,,,,,,,,,
2,fold_2,0.967,0.9803,0.967,0.9354,0.9684,0.967,,,,,,,,,,,,,,
3,fold_3,0.9651,0.9816,0.965,0.9317,0.9666,0.9651,,,,,,,,,,,,,,
4,fold_4,0.968,0.9808,0.9679,0.9377,0.9697,0.968,,,,,,,,,,,,,,
5,fold_5,0.9636,0.9768,0.9636,0.9293,0.9657,0.9636,,,,,,,,,,,,,,
6,fold_6,0.9667,0.9816,0.9667,0.9353,0.9686,0.9667,,,,,,,,,,,,,,
7,fold_7,0.9667,0.9816,0.9667,0.9351,0.9684,0.9667,,,,,,,,,,,,,,
8,fold_8,0.9651,0.9786,0.965,0.9322,0.9672,0.9651,,,,,,,,,,,,,,
9,fold_9,0.9629,0.9816,0.9628,0.9281,0.9652,0.9629,,,,,,,,,,,,,,
10,fold_10,0.9694,0.9826,0.9694,0.94,0.9706,0.9694,,,,,,,,,,,,,,
11,mean,0.9658,0.9807,0.9657,0.9334,0.9676,0.9658,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002130441,0.00172823,0.002154169,0.003972419,0.001844782,0.002130441,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HEK293T,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9656,0.983,0.9656,0.9328,0.9671,0.9656,,,,,,,,,,,,,,
2,fold_2,0.9641,0.9807,0.964,0.9303,0.9662,0.9641,,,,,,,,,,,,,,
