cell_line,3mer,4mer,5mer,6mer,DeepM6ASeq,iMRM,SCRAMP,WHISTLE
A549,0.9633,0.9626,0.9612,0.9615,0.934968505,0.86290534,0.851226628,0.860219958
CD8T,0.9645,0.9652,0.964,0.9653,0.966556464,0.838817693,0.579874043,0.837888181
ESC,0.9914,0.9907,0.9917,0.9911,0.980412106,0.789687419,0.625791577,0.23657332
HCT116,0.9688,0.968,0.9676,0.9676,0.927335362,0.821284375,0.477799871,0.702672304
HEK293,0.9652,0.9657,0.9653,0.9656,0.960717836,0.848411809,0.806449174,0.827496216
HEK293T,0.9638,0.9643,0.9636,0.9643,0.965978503,0.808477172,0.403781761,0.571574423
Hela,0.9654,0.966,0.9646,0.9643,0.966462973,0.831906404,0.539816355,0.744002371
HepG2,0.9646,0.9649,0.9642,0.9649,0.965348635,0.817337816,0.347752272,0.437510097
MOLM13,0.9647,0.9656,0.9645,0.9647,0.964803493,0.881564169,0.873443088,0.909560581
