,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,
3,fold_3,0.9753,0.9827,0.9753,0.9518,0.9765,0.9753,,,,,,,,,,,,,,
4,fold_4,0.9692,0.9782,0.9692,0.9397,0.9706,0.9692,,,,,,,,,,,,,,
5,fold_5,0.9649,0.9735,0.9648,0.9319,0.967,0.9649,,,,,,,,,,,,,,
6,fold_6,0.9698,0.9788,0.9698,0.9413,0.9715,0.9698,,,,,,,,,,,,,,
7,fold_7,0.9692,0.9745,0.9691,0.9401,0.971,0.9692,,,,,,,,,,,,,,
8,fold_8,0.9723,0.9823,0.9722,0.9457,0.9735,0.9723,,,,,,,,,,,,,,
9,fold_9,0.9667,0.978,0.9667,0.9355,0.9688,0.9667,,,,,,,,,,,,,,
10,fold_10,0.9729,0.9802,0.9729,0.9469,0.974,0.9729,,,,,,,,,,,,,,
11,mean,0.9689,0.9775,0.9688,0.9394,0.9706,0.9689,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.004022106,0.003728583,0.004042606,0.007681146,0.003672798,0.004022106,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HEK293,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9648,0.9818,0.9648,0.9309,0.9661,0.9648,,,,,,,,,,,,,,
2,fold_2,0.9684,0.9825,0.9684,0.9382,0.9697,0.9684,,,,,,,,,,,,,,
3,fold_3,0.9631,0.9796,0.9631,0.928,0.9649,0.9631,,,,,,,,,,,,,,
4,fold_4,0.9667,0.9802,0.9667,0.9353,0.9685,0.9667,,,,,,,,,,,,,,
5,fold_5,0.9617,0.979,0.9617,0.9251,0.9634,0.9617,,,,,,,,,,,,,,
6,fold_6,0.9667,0.9793,0.9667,0.9352,0.9684,0.9667,,,,,,,,,,,,,,
7,fold_7,0.9641,0.9786,0.9641,0.9299,0.9658,0.9641,,,,,,,,,,,,,,
8,fold_8,0.9651,0.9805,0.965,0.931,0.966,0.9651,,,,,,,,,,,,,,
9,fold_9,0.9639,0.9783,0.9638,0.9295,0.9657,0.9639,,,,,,,,,,,,,,
10,fold_10,0.9675,0.9816,0.9674,0.9364,0.969,0.9675,,,,,,,,,,,,,,
11,mean,0.9652,0.9801,0.9652,0.932,0.9668,0.9652,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002101851,0.00143929,0.002097644,0.004155117,0.00203265,0.002101851,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HEK293T,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
