,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,
0,A549,acc,auc,f1,mcc,precision,recall,,A549,0.9612,0.9791,0.9612,0.924,0.9628,0.9612,0.00447513,0.00401011,0.00450259,0.00857086,0.00411913,0.00447513
1,fold_1,0.9594,0.981,0.9594,0.9201,0.9607,0.9594,,CD8T,0.964,0.9795,0.964,0.9295,0.9655,0.964,0.00358622,0.0022302,0.00357435,0.00703727,0.00345352,0.00358622
2,fold_2,0.9663,0.9838,0.9663,0.9336,0.9673,0.9663,,ESC,0.9917,0.9949,0.9917,0.9836,0.9919,0.9917,0.002238576,0.002138951,0.002238576,0.004384683,0.002152647,0.002238576
3,fold_3,0.9521,0.9727,0.952,0.9063,0.9542,0.9521,,HCT116,0.9676,0.9779,0.9676,0.9367,0.9691,0.9676,0.003073923,0.004325647,0.003078401,0.00573187,0.002667271,0.003073923
4,fold_4,0.9607,0.9818,0.9607,0.9233,0.9625,0.9607,,HEK293,0.9653,0.9811,0.9653,0.9322,0.9668,0.9653,0.002430455,0.001772663,0.002444972,0.004740195,0.00230892,0.002430455
5,fold_5,0.9603,0.9788,0.9603,0.9217,0.9614,0.9603,,HEK293T,0.9636,0.9816,0.9636,0.9288,0.9652,0.9636,0.00114509,0.0009291,0.00114387,0.00223778,0.00108264,0.00114509
6,fold_6,0.9659,0.9808,0.9659,0.9333,0.9675,0.9659,,Hela,0.9646,0.9785,0.9646,0.9309,0.9663,0.9646,0.00290954,0.00233895,0.00289283,0.0057017,0.00280563,0.00290954
7,fold_7,0.9642,0.9829,0.9641,0.9292,0.965,0.9642,,HepG2,0.9643,0.9737,0.9642,0.9307,0.9665,0.9643,0.0018613,0.00192053,0.00186205,0.00361841,0.00174359,0.0018613
8,fold_8,0.9646,0.9805,0.9646,0.9304,0.9658,0.9646,,MOLM13,0.9646,0.9855,0.9645,0.9302,0.9656,0.9646,0.002044206,0.001077033,0.002038218,0.004156975,0.002115052,0.002044206
9,fold_9,0.9564,0.9725,0.9563,0.9154,0.959,0.9564,,AVG.,0.9674,0.9813,0.9674,0.9363,0.9688,0.9674,0.002640493,0.002304798,0.002641762,0.005131083,0.002494267,0.002640493
10,fold_10,0.9624,0.9763,0.9624,0.9265,0.9641,0.9624,,,,,,,,,,,,,,
11,mean,0.9612,0.9791,0.9612,0.924,0.9628,0.9612,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.004475129,0.004010112,0.004502592,0.008570855,0.004119129,0.004475129,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,, , , , , ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,CD8T,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9605,0.9776,0.9605,0.9224,0.962,0.9605,,,,,,,,,,,,,,
2,fold_2,0.9648,0.98,0.9648,0.9309,0.9661,0.9648,,,,,,,,,,,,,,
3,fold_3,0.9657,0.9801,0.9656,0.9327,0.967,0.9657,,,,,,,,,,,,,,
4,fold_4,0.967,0.9816,0.967,0.9355,0.9685,0.967,,,,,,,,,,,,,,
5,fold_5,0.9688,0.9832,0.9687,0.9391,0.9704,0.9688,,,,,,,,,,,,,,
6,fold_6,0.9662,0.9799,0.9662,0.9337,0.9675,0.9662,,,,,,,,,,,,,,
7,fold_7,0.9603,0.9765,0.9603,0.9231,0.9628,0.9603,,,,,,,,,,,,,,
8,fold_8,0.9614,0.9783,0.9613,0.9242,0.9628,0.9614,,,,,,,,,,,,,,
9,fold_9,0.9582,0.9764,0.9582,0.918,0.9598,0.9582,,,,,,,,,,,,,,
10,fold_10,0.967,0.981,0.967,0.9355,0.9684,0.967,,,,,,,,,,,,,,
11,mean,0.964,0.9795,0.964,0.9295,0.9655,0.964,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.003586224,0.002230197,0.003574353,0.007037274,0.003453517,0.003586224,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,ESC,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9897,0.9951,0.9897,0.9796,0.9899,0.9897,,,,,,,,,,,,,,
2,fold_2,0.9901,0.9931,0.9901,0.9804,0.9903,0.9901,,,,,,,,,,,,,,
3,fold_3,0.9956,0.9988,0.9956,0.9912,0.9956,0.9956,,,,,,,,,,,,,,
4,fold_4,0.993,0.9956,0.993,0.9861,0.9931,0.993,,,,,,,,,,,,,,
5,fold_5,0.9934,0.9958,0.9934,0.9868,0.9934,0.9934,,,,,,,,,,,,,,
6,fold_6,0.9912,0.9946,0.9912,0.9825,0.9913,0.9912,,,,,,,,,,,,,,
7,fold_7,0.9945,0.9977,0.9945,0.989,0.9945,0.9945,,,,,,,,,,,,,,
8,fold_8,0.989,0.9922,0.989,0.9782,0.9892,0.989,,,,,,,,,,,,,,
9,fold_9,0.9904,0.9933,0.9904,0.981,0.9906,0.9904,,,,,,,,,,,,,,
10,fold_10,0.9904,0.993,0.9904,0.9811,0.9906,0.9904,,,,,,,,,,,,,,
11,mean,0.9917,0.9949,0.9917,0.9836,0.9919,0.9917,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002238576,0.002138951,0.002238576,0.004384683,0.002152647,0.002238576,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HCT116,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9661,0.9754,0.9661,0.934,0.9679,0.9661,,,,,,,,,,,,,,
2,fold_2,0.9729,0.9828,0.9729,0.9468,0.9739,0.9729,,,,,,,,,,,,,,
3,fold_3,0.9661,0.9786,0.9661,0.9335,0.9674,0.9661,,,,,,,,,,,,,,
4,fold_4,0.9704,0.9845,0.9704,0.9416,0.9712,0.9704,,,,,,,,,,,,,,
5,fold_5,0.971,0.9819,0.971,0.9431,0.9721,0.971,,,,,,,,,,,,,,
6,fold_6,0.9679,0.98,0.9679,0.937,0.9691,0.9679,,,,,,,,,,,,,,
7,fold_7,0.9686,0.9741,0.9685,0.9384,0.9699,0.9686,,,,,,,,,,,,,,
8,fold_8,0.9655,0.9753,0.9654,0.9329,0.9674,0.9655,,,,,,,,,,,,,,
9,fold_9,0.9636,0.9747,0.9636,0.9291,0.9655,0.9636,,,,,,,,,,,,,,
10,fold_10,0.9642,0.9714,0.9642,0.9307,0.9665,0.9642,,,,,,,,,,,,,,
11,mean,0.9676,0.9779,0.9676,0.9367,0.9691,0.9676,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.003073923,0.004325647,0.003078401,0.00573187,0.002667271,0.003073923,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HEK293,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9684,0.984,0.9684,0.9379,0.9695,0.9684,,,,,,,,,,,,,,
2,fold_2,0.9619,0.9804,0.9619,0.9253,0.9634,0.9619,,,,,,,,,,,,,,
3,fold_3,0.9658,0.9811,0.9658,0.9328,0.967,0.9658,,,,,,,,,,,,,,
4,fold_4,0.967,0.9812,0.967,0.9351,0.9681,0.967,,,,,,,,,,,,,,
5,fold_5,0.9684,0.9826,0.9684,0.9384,0.97,0.9684,,,,,,,,,,,,,,
6,fold_6,0.966,0.9817,0.966,0.9336,0.9676,0.966,,,,,,,,,,,,,,
7,fold_7,0.9641,0.9787,0.9641,0.93,0.9659,0.9641,,,,,,,,,,,,,,
8,fold_8,0.9629,0.9782,0.9629,0.9276,0.9647,0.9629,,,,,,,,,,,,,,
9,fold_9,0.9622,0.9803,0.9621,0.9259,0.9637,0.9622,,,,,,,,,,,,,,
10,fold_10,0.9667,0.9825,0.9667,0.9349,0.9681,0.9667,,,,,,,,,,,,,,
11,mean,0.9653,0.9811,0.9653,0.9322,0.9668,0.9653,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002430455,0.001772663,0.002444972,0.004740195,0.00230892,0.002430455,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HEK293T,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.962,0.9809,0.9619,0.9258,0.9638,0.962,,,,,,,,,,,,,,
2,fold_2,0.9644,0.9833,0.9643,0.9303,0.966,0.9644,,,,,,,,,,,,,,
3,fold_3,0.9644,0.9811,0.9643,0.9302,0.9658,0.9644,,,,,,,,,,,,,,
4,fold_4,0.9619,0.9808,0.9619,0.9253,0.9634,0.9619,,,,,,,,,,,,,,
5,fold_5,0.965,0.9819,0.9649,0.9315,0.9665,0.965,,,,,,,,,,,,,,
6,fold_6,0.9626,0.9812,0.9625,0.9267,0.9642,0.9626,,,,,,,,,,,,,,
7,fold_7,0.9647,0.9816,0.9647,0.9311,0.9663,0.9647,,,,,,,,,,,,,,
8,fold_8,0.9633,0.9816,0.9633,0.9282,0.9649,0.9633,,,,,,,,,,,,,,
9,fold_9,0.9645,0.9831,0.9645,0.9303,0.9658,0.9645,,,,,,,,,,,,,,
10,fold_10,0.9635,0.9806,0.9635,0.9287,0.9652,0.9635,,,,,,,,,,,,,,
11,mean,0.9636,0.9816,0.9636,0.9288,0.9652,0.9636,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.001145086,0.000929098,0.001143873,0.002237782,0.001082641,0.001145086,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,Hela,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9595,0.9746,0.9595,0.9214,0.9619,0.9595,,,,,,,,,,,,,,
2,fold_2,0.9668,0.9806,0.9667,0.9353,0.9686,0.9668,,,,,,,,,,,,,,
3,fold_3,0.9656,0.9784,0.9655,0.9328,0.9673,0.9656,,,,,,,,,,,,,,
4,fold_4,0.9669,0.9791,0.9669,0.9355,0.9686,0.9669,,,,,,,,,,,,,,
5,fold_5,0.9645,0.9802,0.9645,0.9305,0.966,0.9645,,,,,,,,,,,,,,
6,fold_6,0.9592,0.9764,0.9592,0.9199,0.9607,0.9592,,,,,,,,,,,,,,
7,fold_7,0.9659,0.9752,0.9658,0.9337,0.9678,0.9659,,,,,,,,,,,,,,
8,fold_8,0.9669,0.9794,0.9669,0.9352,0.9682,0.9669,,,,,,,,,,,,,,
9,fold_9,0.9645,0.9793,0.9645,0.9302,0.9657,0.9645,,,,,,,,,,,,,,
10,fold_10,0.9663,0.9816,0.9663,0.9341,0.9678,0.9663,,,,,,,,,,,,,,
11,mean,0.9646,0.9785,0.9646,0.9309,0.9663,0.9646,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002909544,0.002338946,0.002892826,0.005701696,0.002805629,0.002909544,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9625,0.9764,0.9625,0.9267,0.9642,0.9625,,,,,,,,,,,,,,
2,fold_2,0.9639,0.9716,0.9639,0.9301,0.9661,0.9639,,,,,,,,,,,,,,
3,fold_3,0.9666,0.9772,0.9665,0.9351,0.9685,0.9666,,,,,,,,,,,,,,
4,fold_4,0.9604,0.9715,0.9603,0.9234,0.9631,0.9604,,,,,,,,,,,,,,
5,fold_5,0.9643,0.9736,0.9642,0.9307,0.9664,0.9643,,,,,,,,,,,,,,
6,fold_6,0.9646,0.9733,0.9646,0.9314,0.9668,0.9646,,,,,,,,,,,,,,
7,fold_7,0.9655,0.9723,0.9655,0.9332,0.9677,0.9655,,,,,,,,,,,,,,
8,fold_8,0.9664,0.9739,0.9663,0.9348,0.9684,0.9664,,,,,,,,,,,,,,
9,fold_9,0.9655,0.9753,0.9655,0.9331,0.9676,0.9655,,,,,,,,,,,,,,
10,fold_10,0.9643,0.9737,0.9642,0.9307,0.9665,0.9643,,,,,,,,,,,,,,
11,mean,0.9644,0.97388,0.96435,0.93092,0.96653,0.9644,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.001861302,0.001920532,0.001862048,0.00361841,0.001743591,0.001861302,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,MOLM13,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9599,0.9845,0.9599,0.9207,0.9608,0.9599,,,,,,,,,,,,,,
2,fold_2,0.9648,0.9858,0.9648,0.9308,0.966,0.9648,,,,,,,,,,,,,,
3,fold_3,0.9646,0.9851,0.9645,0.9304,0.9658,0.9646,,,,,,,,,,,,,,
4,fold_4,0.9658,0.985,0.9658,0.9328,0.967,0.9658,,,,,,,,,,,,,,
5,fold_5,0.9661,0.9872,0.9661,0.933,0.9669,0.9661,,,,,,,,,,,,,,
6,fold_6,0.962,0.9842,0.962,0.925,0.963,0.962,,,,,,,,,,,,,,
7,fold_7,0.9647,0.9836,0.9647,0.9304,0.9657,0.9647,,,,,,,,,,,,,,
8,fold_8,0.9619,0.9837,0.9619,0.9246,0.9627,0.9619,,,,,,,,,,,,,,
9,fold_9,0.9657,0.9854,0.9657,0.9325,0.9668,0.9657,,,,,,,,,,,,,,
10,fold_10,0.9646,0.9855,0.9645,0.9302,0.9656,0.9646,,,,,,,,,,,,,,
11,mean,0.96401,0.985,0.96399,0.92904,0.96503,0.96401,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002044206,0.001077033,0.002038218,0.004156975,0.002115052,0.002044206,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
