cell_line,3mer,4mer,5mer,6mer,DeepM6ASeq,iMRM,SCRAMP,WHISTLE
A549,0.9633,0.9626,0.9612,0.9616,0.932613391,0.872714183,0.861699064,0.876814516
CD8T,0.9645,0.9653,0.964,0.9653,0.965660052,0.852142652,0.649899339,0.859709379
ESC,0.9914,0.9907,0.9917,0.9911,0.980220453,0.808266993,0.582363748,0.565283019
HCT116,0.9689,0.9681,0.9676,0.9676,0.923535457,0.83946557,0.576567318,0.769191919
HEK293,0.9652,0.9658,0.9653,0.9657,0.959437751,0.858835341,0.820321285,0.852057613
HEK293T,0.9639,0.9644,0.9636,0.9643,0.964780566,0.82743177,0.554393682,0.697788873
Hela,0.9655,0.966,0.9646,0.9643,0.965265542,0.845683363,0.588547697,0.794708589
HepG2,0.9647,0.9649,0.9643,0.9649,0.964169861,0.835387791,0.53055146,0.636800574
MOLM13,0.9647,0.9656,0.9646,0.9647,0.963638487,0.886688463,0.877510509,0.91654334
