attention_sum,Relative_distance
174.09799561626266,0.0
41.16249647845206,0.01
25.548647586799536,0.02
19.26155585137895,0.03
13.249989003350489,0.04
10.1120509042715,0.05
10.963768201336885,0.06
11.293914348954186,0.07
10.030258153836861,0.08
9.393852625430249,0.09
8.50408065400552,0.1
8.326270540982176,0.11
8.27275820383026,0.12
7.710247797503443,0.13
4.882160069886596,0.14
5.305164910251427,0.15
4.987901581994568,0.16
4.220562764986731,0.17
10.706813915826688,0.18
6.491425003022112,0.19
7.129123377555514,0.2
4.927171303017528,0.21
6.1916067649532724,0.22
3.7404382363893114,0.23
3.888922381253604,0.24
6.658008752895208,0.25
2.6665181560480655,0.26
11.295650853387398,0.27
3.7758862964013424,0.28
4.722894864428477,0.29
4.699950481958997,0.3
3.491697673356007,0.31
5.508078736990381,0.32
3.090297914187735,0.33
3.350522241865596,0.34
2.877867978725892,0.35000000000000003
3.4131578930731235,0.36
3.8942704292130657,0.37
4.78776719685023,0.38
5.970078709496497,0.39
5.947229217039419,0.4
3.495151507280147,0.41000000000000003
3.3197855592394885,0.42
2.5119348528290493,0.43
2.494354208931327,0.44
2.9268455792528867,0.45
9.34415280892669,0.46
3.6909691476224284,0.47000000000000003
6.980935531590755,0.48
5.249334529391489,0.49
4.275758501472107,0.5
3.36656991050889,0.51
4.598421465741316,0.52
4.185946183395572,0.53
2.1583366775885215,0.54
5.68338146840688,0.55
2.364596147885702,0.56
5.479915693402291,0.5700000000000001
3.4174563614263507,0.58
2.178632615987832,0.59
2.715074766621305,0.6
2.1991491860438455,0.61
4.93116370247056,0.62
5.912857732425135,0.63
6.3588821830344395,0.64
2.5693832526255096,0.65
1.679632774282557,0.66
4.390927336217524,0.67
5.960842705680989,0.68
5.754850575933234,0.6900000000000001
2.3978052481931336,0.7000000000000001
3.9648268011126966,0.71
4.017232696991412,0.72
4.358233571460004,0.73
3.2387363289017217,0.74
11.808352634349525,0.75
6.802938422226967,0.76
3.6936131851592418,0.77
5.517301065226397,0.78
4.185391147174716,0.79
7.041589597278894,0.8
7.8046821689155585,0.81
2.926786855018388,0.8200000000000001
2.115214390913024,0.8300000000000001
2.4685058588317284,0.84
2.238472428793709,0.85
2.631832313937291,0.86
6.373399009346033,0.87
2.001557416670645,0.88
3.6591480719701703,0.89
4.643435727087007,0.9
3.0764788573142137,0.91
2.731886222803343,0.92
2.0629996306961407,0.93
4.548802399483976,0.9400000000000001
2.8790762755088504,0.9500000000000001
2.741585952501433,0.96
2.153275789537778,0.97
2.1537288549977043,0.98
0.07072761068896702,0.99
