attention_sum,Relative_distance
174.099274764206,0.0
41.175444270173735,0.01
25.57557603176489,0.02
19.302044365608417,0.03
13.329659928490093,0.04
10.20968990384426,0.05
11.0796981578751,0.06
11.398930107801183,0.07
10.148244177553954,0.08
9.517816553886703,0.09
8.604143960973788,0.1
8.442445093850738,0.11
8.378941097362265,0.12
7.848977550417958,0.13
4.997005520179907,0.14
5.446199978376776,0.15
5.128221121034583,0.16
4.363826880643806,0.17
10.82772651776516,0.18
6.605125148120957,0.19
7.256424736920355,0.2
5.001103249795653,0.21
6.280574639046486,0.22
3.8507772067581163,0.23
3.983294323154648,0.24
6.762174550967754,0.25
2.793208975504968,0.26
11.404007991446026,0.27
3.900718722909609,0.28
4.858090552821522,0.29
4.80977883982026,0.3
3.5900358436047117,0.31
5.614050172196586,0.32
3.1907135351357283,0.33
3.4236400670682405,0.34
2.9784396013953165,0.35000000000000003
3.5015390841678404,0.36
4.002021971372111,0.37
4.880814238858873,0.38
6.0707170652167415,0.39
6.018449661564469,0.4
3.592141309282549,0.41000000000000003
3.402925288983778,0.42
2.625385094870582,0.43
2.5903323758733077,0.44
3.0319182729290306,0.45
9.413091625276138,0.46
3.786285180751292,0.47000000000000003
7.071537838307754,0.48
5.327861841224753,0.49
4.366354281645423,0.5
3.466981235132455,0.51
4.688400485540721,0.52
4.290458239117773,0.53
2.2325256331532715,0.54
5.761378359718949,0.55
2.441870404785733,0.56
5.577267552393704,0.5700000000000001
3.52212821925544,0.58
2.265105890857134,0.59
2.824940382376858,0.6
2.3122293401732668,0.61
5.011095487745476,0.62
6.011187382236436,0.63
6.432448260122329,0.64
2.6678713840374266,0.65
1.7595573164774871,0.66
4.485939781152409,0.67
6.055651938098889,0.68
5.842500247449305,0.6900000000000001
2.4734539412820604,0.7000000000000001
4.068842150275789,0.71
4.131720098259395,0.72
4.456461425662079,0.73
3.323538958919621,0.74
11.90903136125416,0.75
6.884504261807403,0.76
3.77616962728886,0.77
5.606598869654895,0.78
4.281560527442097,0.79
7.126737178468221,0.8
7.8787341894058045,0.81
3.0072427457683575,0.8200000000000001
2.200267909463339,0.8300000000000001
2.535249993554317,0.84
2.3503844579972792,0.85
2.6928546706525,0.86
6.457304544567404,0.87
2.099858966488682,0.88
3.7402338447864176,0.89
4.73449831051403,0.9
3.158509037680536,0.91
2.803611662830613,0.92
2.1380101938654366,0.93
4.643258789379617,0.9400000000000001
2.953180883557555,0.9500000000000001
2.793792069744085,0.96
2.197591643470029,0.97
2.2039963317802176,0.98
0.07933125604176894,0.99
