Frequency,Relative_distance
0.9979674796747967,0.0
0.987152034261242,0.01
0.9755011135857461,0.02
0.9524838012958964,0.03
0.90744920993228,0.04
0.8717948717948718,0.05
0.8530120481927711,0.06
0.8467741935483871,0.07
0.8365122615803815,0.08
0.8228571428571428,0.09
0.81,0.1
0.7748344370860927,0.11
0.7706093189964157,0.12
0.7684887459807074,0.13
0.7545787545787546,0.14
0.7708978328173375,0.15
0.7440273037542662,0.16
0.7236363636363636,0.17
0.7745454545454545,0.18
0.758893280632411,0.19
0.7537878787878788,0.2
0.819327731092437,0.21
0.7959183673469388,0.22
0.7489177489177489,0.23
0.7886178861788617,0.24
0.7530364372469636,0.25
0.6814159292035398,0.26
0.7747035573122529,0.27
0.706140350877193,0.28
0.6857142857142857,0.29
0.7142857142857143,0.3
0.7584745762711864,0.31
0.719626168224299,0.32
0.7581395348837209,0.33
0.7727272727272727,0.34
0.7444933920704846,0.35000000000000003
0.7681159420289855,0.36
0.7368421052631579,0.37
0.7451923076923077,0.38
0.7601809954751131,0.39
0.8115183246073299,0.4
0.7487437185929648,0.41000000000000003
0.7621359223300971,0.42
0.7106598984771574,0.43
0.7230769230769231,0.44
0.7192118226600985,0.45
0.7969543147208121,0.46
0.7253886010362695,0.47000000000000003
0.7475728155339806,0.48
0.7688679245283019,0.49
0.6894409937888198,0.5
0.7180851063829787,0.51
0.7351351351351352,0.52
0.6878306878306878,0.53
0.7575757575757576,0.54
0.7663043478260869,0.55
0.7471264367816092,0.56
0.7315789473684211,0.5700000000000001
0.6666666666666666,0.58
0.746031746031746,0.59
0.6864864864864865,0.6
0.6526315789473685,0.61
0.7567567567567568,0.62
0.7384615384615385,0.63
0.7528089887640449,0.64
0.7282051282051282,0.65
0.70625,0.66
0.7157894736842105,0.67
0.7438423645320197,0.68
0.7391304347826086,0.6900000000000001
0.7595628415300546,0.7000000000000001
0.6914893617021277,0.71
0.6666666666666666,0.72
0.6804733727810651,0.73
0.7379679144385026,0.74
0.6836158192090396,0.75
0.7386363636363636,0.76
0.6938775510204082,0.77
0.7401129943502824,0.78
0.6923076923076923,0.79
0.7580645161290323,0.8
0.7678571428571429,0.81
0.7456647398843931,0.8200000000000001
0.7528735632183908,0.8300000000000001
0.7988165680473372,0.84
0.6774193548387096,0.85
0.7948717948717948,0.86
0.7218934911242604,0.87
0.6586826347305389,0.88
0.7070063694267515,0.89
0.6867469879518072,0.9
0.6962025316455697,0.91
0.7232704402515723,0.92
0.6853146853146853,0.93
0.7076023391812866,0.9400000000000001
0.717948717948718,0.9500000000000001
0.7192982456140351,0.96
0.6923076923076923,0.97
0.5492957746478874,0.98
0.5454545454545454,0.99
