0,pos_or_neg,attention_score
0,pos,0.7515099594308957
1,pos,1.0024730167238087
2,pos,15.307710914043485
3,pos,5.872221138873479
4,pos,3.4305853216446995
5,pos,3.5303140536132385
6,pos,2.8550084449381123
7,pos,0.9688520813512244
8,pos,0.4881922561652594
9,pos,0.342657292504015
10,pos,0.3519924102934092
11,pos,5.299529122809568
12,pos,0.3226634058192735
13,pos,0.7026719463216823
14,pos,0.2922312439347397
15,pos,0.3288514546792561
16,pos,0.4037189780075739
17,pos,10.28163271645705
18,pos,1.3628083232002772
19,pos,0.5356244126720945
20,pos,0.4917771241729852
21,pos,0.4935981887979508
22,pos,0.7283441307840914
23,pos,2.8160818148313496
24,pos,0.246084339555156
25,pos,0.7733970412007738
26,pos,0.5894962693488877
27,pos,0.3678849635634389
28,pos,0.219730929730884
29,pos,0.2682185031916583
30,pos,1.1652811903627665
31,pos,4.800425476689891
32,pos,18.009559561808906
33,pos,4.58242256058062
34,pos,0.6403553148171282
35,pos,9.98989144270119
36,pos,0.2378036602631181
37,pos,1.2945986038634203
38,pos,0.9069861998929212
39,pos,0.6888217334370546
40,pos,0.4017048325612989
41,pos,0.3035408098296058
42,pos,0.7020875315628643
43,pos,0.5928320772340142
44,pos,0.354977253336096
45,pos,19.79046139139228
46,pos,0.1592568959472928
47,pos,19.294003450559693
48,pos,0.6595020876190345
49,pos,7.627589390916007
50,pos,4.407179095911059
51,pos,1.1446759396240236
52,pos,0.834695607181487
53,pos,1.524309931527369
54,pos,1.8020653859636464
55,pos,3.9345442923164464
56,pos,1.872905637554037
57,pos,1.9924587774567488
58,pos,0.2319993468274067
59,pos,0.2190486881011203
60,pos,0.2172274315565052
61,pos,1.5538750892141608
62,pos,0.7473314906909637
63,pos,0.7277562833822718
64,pos,0.2447022742694016
65,pos,3.4954230868961758
66,pos,0.1703076508952441
67,pos,0.4780932482922586
68,pos,3.96512933075428
69,pos,8.236246307690937
70,pos,8.059035199202173
71,pos,2.762016194174066
72,pos,0.8352557548352071
73,pos,1.3026846085326762
74,pos,3.4044204836302416
75,pos,3.1028962338237256
76,pos,1.1689111841198936
77,pos,107.94347822666168
78,pos,3.6441976272660055
79,pos,0.6282152286238544
80,pos,0.3642385272778631
81,pos,0.3633219666392883
82,pos,3.64956216568627
83,pos,1.0657842016430588
84,pos,0.2829919872063446
85,pos,0.4020047934377581
86,pos,5.240454629245328
87,pos,0.3329082214693743
88,pos,0.3133064289236577
89,pos,0.3426809685410765
90,pos,0.3620509595829781
91,pos,8.809681241286963
92,pos,2.6777757407446217
93,pos,1.9217211859134156
94,pos,1.927283217721596
95,pos,1.0426689054801817
96,pos,5.32813899415901
97,pos,1.6694666391874595
98,pos,226.04002555211383
99,pos,6.130192056298256
100,pos,21.81276467939218
101,pos,2.7647388266111776
102,pos,2.607798180353593
103,pos,1.6217657186969263
104,pos,1.1650091223608006
105,pos,0.0825083659577554
106,pos,3.2789306904424014
107,pos,0.8090391571489655
108,pos,1.268118918055623
109,pos,1.0839623065922803
110,pos,1.2240672586258592
111,pos,23.62517629280626
112,pos,24.371435651101358
113,pos,25.85699239336863
114,pos,2.875461572841779
115,pos,0.3900146420393896
116,pos,0.3605209164154844
117,pos,25.969859488153208
118,pos,1.3728522171258806
119,pos,1.355714506159226
120,pos,0.8703911406313621
121,pos,0.7809461747500591
122,pos,0.7147944711216885
123,pos,0.4479960426290679
124,pos,5.321051741427764
125,pos,1.487220632767956
126,pos,0.7625329921521792
127,pos,0.7031806709615862
128,pos,0.3436701758423956
129,pos,0.3326275881864433
130,pos,0.5658777591552797
131,pos,0.5195527929979248
132,pos,0.4983764016864503
133,pos,0.1857256904155455
134,pos,1.413063760998288
135,pos,1.9349185178222936
136,pos,4.512773192964676
137,pos,6.785030414660771
138,pos,9.993840505679447
139,pos,10.104547183566948
140,pos,4.191662309070429
141,pos,1.0623727355349233
142,pos,0.7220636933996547
143,pos,0.8980724348675279
144,pos,0.7996679323903337
145,pos,0.765867275185883
146,pos,0.3906063867990321
147,pos,1.187613527990908
148,pos,0.5456206026275043
149,pos,0.615828066905279
150,pos,0.908886352213236
151,pos,5.680535174906254
152,pos,7.522847750262033
153,pos,7.127579331882601
154,pos,3.334521987225588
155,pos,3.330920585544735
156,pos,3.0658960724779503
157,pos,0.8693926956322863
158,pos,1.013259834996084
159,pos,0.2134317129460443
160,pos,0.3488141261571185
161,pos,2.3872334472229326
162,pos,0.1292214774558835
163,pos,0.1543758904118454
164,pos,0.0735290245365018
165,pos,0.2137028856621297
166,pos,0.5386160276792338
167,pos,0.4145561275924215
168,pos,0.29952094660186
169,pos,0.2435796991619092
170,pos,0.319200841666434
171,pos,2.6963863642962
172,pos,0.9335058243430364
173,pos,0.4067305395023791
174,pos,6.6886431946441895
175,pos,3.132348076054236
176,pos,1.0801967184203185
177,pos,1.0868146118321798
178,pos,1.146287390606372
179,pos,0.8582082398167653
180,pos,0.4655908815926168
181,pos,0.3326261424595808
182,pos,0.2848900016018651
183,pos,1.9159915588220688
184,pos,0.2930995275652626
185,pos,0.3071277379626181
186,pos,0.3098180598003895
187,pos,0.3291131350272372
188,pos,0.1823854117324893
189,pos,4.63956412972837
190,pos,2.506775390243203
191,pos,1.7363481481968448
192,pos,0.5409178638270473
193,pos,0.5235100263441965
194,pos,1.850048192148286
195,pos,0.6128636210573822
196,pos,5.279257978365673
197,pos,5.292175712094196
198,pos,3.482448478130911
199,pos,3.2885698298734374
200,pos,1.028552054374562
201,pos,2.9458915617892414
202,pos,0.4793049539041865
203,pos,0.4933078488906678
204,pos,1.2906012183994175
205,pos,0.989890916129135
206,pos,0.5498526164527408
207,pos,0.3541721075553659
208,pos,0.2108171703369636
209,pos,2.031465758743688
210,pos,1.5407858401294647
211,pos,0.8910269289073057
212,pos,0.9747586360700974
213,pos,0.8546250526853875
214,pos,0.5839517593716945
215,pos,0.4039070768683119
216,pos,1.4150721055069349
217,pos,0.1074717191286476
218,pos,3.095189745469791
219,pos,0.583763055624516
220,pos,5.6481206532174015
221,pos,2.619950091314873
222,pos,6.158832384924579
223,pos,91.86340707043806
224,pos,2.8755662523634062
225,pos,1.2939585811965832
226,pos,0.1479743432104057
227,pos,1.4034601988467743
228,pos,0.5295537011811464
229,pos,5.074770342770631
230,pos,0.6896968519246978
231,pos,1.2458201475078017
232,pos,1.2630254988051286
233,pos,0.7067294745910458
234,pos,1.3278978935450436
235,pos,2.283743353431848
236,pos,4.390979909557637
237,pos,4.751016924960342
238,pos,1.109543798029483
239,pos,0.8964055285948079
240,pos,1.0051687584993074
241,pos,1.057034888024616
242,pos,0.4594916752274565
243,pos,0.7279863738174724
244,pos,0.6494604748658593
245,pos,0.4077088511813946
246,pos,18.05246028991424
247,pos,1.4079172503036574
248,pos,0.1181638300110305
249,pos,16.445363928754134
250,pos,0.6451596845721265
251,pos,0.3968865999656661
252,pos,0.3172610223868756
253,pos,0.5647464014108982
254,pos,0.7591368787168578
255,pos,1.9311340453814927
256,pos,0.487207264281673
257,pos,0.1094530340226374
258,pos,0.3515754859256595
259,pos,1.3331271923805883
260,pos,4.285084077618956
261,pos,0.5580123051115107
262,pos,0.3500710884383615
263,pos,31.85310469319423
264,pos,4.479663416258688
265,pos,3.925924789826802
266,pos,1.938039328282078
267,pos,1.6035330402324113
268,pos,1.4778166967709132
269,pos,0.2883940631792525
270,pos,0.2741313129862225
271,pos,0.1902099953381329
272,pos,1.2445231047799674
273,pos,0.5667595056498923
274,pos,0.2570222161248387
275,pos,1.896714203710842
276,pos,0.6272450784160718
277,pos,0.6392588416811049
278,pos,0.8186029343169212
279,pos,4.266080719123527
280,pos,4.27515809159211
281,pos,1.5171039387644307
282,pos,1.2032296050461084
283,pos,1.1976049732174574
284,pos,0.7251175866288141
285,pos,0.9317220222750088
286,pos,0.4394148339184258
287,pos,1.156247031450938
288,pos,4.478656381701794
289,pos,0.428675098639981
290,pos,0.3941413294334661
291,pos,1.9584232307137637
292,pos,2.75249032803425
