,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.001418198,0.003818877,0.002710855,0.002163533,0.015051246,0.018031708,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,DDX3X_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.841846154,0.814195887,0.7534378,0.63769263,0.775,0.733042937,,,,,,,,,,,,,,,,
2,fold_2,0.832205128,0.79680928,0.731627297,0.612199249,0.775382476,0.692546584,,,,,,,,,,,,,,,,
3,fold_3,0.833641026,0.800872229,0.736602793,0.616784441,0.77195371,0.704347826,,,,,,,,,,,,,,,,
4,fold_4,0.830564103,0.794471405,0.728110599,0.607733722,0.772346369,0.688667497,,,,,,,,,,,,,,,,
5,fold_5,0.829538462,0.790769956,0.723460899,0.604017469,0.776428571,0.677258567,,,,,,,,,,,,,,,,
6,mean,0.833558974,0.799423751,0.734647877,0.615685502,0.774222225,0.699172682,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.00489006,0.009035533,0.011553044,0.013200844,0.001967491,0.021263048,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,DDX24_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.70038249,0.633021674,0.489500362,0.288269514,0.566480447,0.430939227,,,,,,,,,,,,,,,,
2,fold_2,0.695565944,0.602896843,0.41555616,0.248715589,0.577912254,0.324416136,,,,,,,,,,,,,,,,
3,fold_3,0.688341125,0.60708419,0.437340153,0.243411761,0.548780488,0.363520408,,,,,,,,,,,,,,,,
4,fold_4,0.696415923,0.611396854,0.43885834,0.259189282,0.572795625,0.355687606,,,,,,,,,,,,,,,,
5,fold_5,0.689332767,0.598032015,0.410008071,0.234359613,0.559882439,0.323429542,,,,,,,,,,,,,,,,
6,mean,0.69400765,0.610486315,0.438252617,0.254789152,0.565170251,0.359598584,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.005070273,0.013536577,0.03138636,0.02076051,0.011388666,0.043778328,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,FAM120A_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.766426282,0.709240316,0.607407407,0.456811236,0.71473851,0.528103044,,,,,,,,,,,,,,,,
2,fold_2,0.771434295,0.729473791,0.640856154,0.477309297,0.691576087,0.597067449,,,,,,,,,,,,,,,,
3,fold_3,0.768028846,0.717149135,0.621073298,0.463566592,0.702442635,0.55659824,,,,,,,,,,,,,,,,
4,fold_4,0.763621795,0.728763538,0.641337386,0.46609897,0.665615142,0.618768328,,,,,,,,,,,,,,,,
5,fold_5,0.763421474,0.734070449,0.649658855,0.471214959,0.658448587,0.641100703,,,,,,,,,,,,,,,,
6,mean,0.766586538,0.723739446,0.63206662,0.467000211,0.686564192,0.588327553,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.003332192,0.010228768,0.017332193,0.007753363,0.023981171,0.045885108,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,G3BP1_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.702912314,0.601287139,0.402038866,0.25523972,0.597537879,0.302928469,,,,,,,,,,,,,,,,
2,fold_2,0.681703071,0.596200365,0.416932444,0.219716357,0.526354319,0.345175228,,,,,,,,,,,,,,,,
3,fold_3,0.697530864,0.634742254,0.495378928,0.285275788,0.54982415,0.450744834,,,,,,,,,,,,,,,,
4,fold_4,0.684710351,0.614302368,0.460162602,0.24660855,0.52765693,0.407976934,,,,,,,,,,,,,,,,
5,fold_5,0.691199747,0.608259462,0.437914146,0.245650912,0.54676259,0.365209034,,,,,,,,,,,,,,,,
6,mean,0.691611269,0.610958318,0.442485397,0.250498265,0.549627174,0.3744069,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.00878521,0.014962211,0.036810259,0.023548408,0.0288444,0.057014658,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,GRWD1_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.698295716,0.651797663,0.53046595,0.308929836,0.548599671,0.513492675,,,,,,,,,,,,,,,,
2,fold_2,0.702799529,0.625291044,0.468564107,0.281508081,0.576187261,0.394818014,,,,,,,,,,,,,,,,
3,fold_3,0.70592149,0.616351066,0.441376628,0.276670466,0.596583443,0.35025459,,,,,,,,,,,,,,,,
4,fold_4,0.704027842,0.620427037,0.454691183,0.278002442,0.585052172,0.371838371,,,,,,,,,,,,,,,,
5,fold_5,0.704897897,0.626711118,0.469939327,0.285886653,0.581967213,0.394079556,,,,,,,,,,,,,,,,
6,mean,0.703188495,0.628115586,0.473007439,0.286199496,0.577677952,0.404896641,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.002965906,0.013859194,0.03415637,0.013198198,0.017874305,0.063423753,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,IGF2BP1_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.743236074,0.715940025,0.622661123,0.428306681,0.612161472,0.633527234,,,,,,,,,,,,,,,,
2,fold_2,0.745181256,0.703846154,0.602701958,0.41627456,0.627439724,0.579840849,,,,,,,,,,,,,,,,
3,fold_3,0.737223696,0.698045178,0.596195652,0.402043885,0.613878008,0.579503434,,,,,,,,,,,,,,,,
4,fold_4,0.739168877,0.694656019,0.589250905,0.399964096,0.620527859,0.56097561,,,,,,,,,,,,,,,,
5,fold_5,0.740583554,0.670291777,0.541419193,0.380152149,0.659056317,0.459416446,,,,,,,,,,,,,,,,
6,mean,0.741078691,0.696555831,0.590445766,0.405348274,0.626612676,0.562652714,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.003171706,0.01676696,0.030108708,0.018174331,0.019113529,0.063763462,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,LARP4_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.725532683,0.620745512,0.43620178,0.298317338,0.621564482,0.336,,,,,,,,,,,,,,,,
2,fold_2,0.726977248,0.634713833,0.470588235,0.313320463,0.607594937,0.384,,,,,,,,,,,,,,,,
3,fold_3,0.732394366,0.624531604,0.439061317,0.315000727,0.650224215,0.331428571,,,,,,,,,,,,,,,,
4,fold_4,0.732033225,0.613850295,0.40876494,0.307000119,0.672346003,0.293646251,,,,,,,,,,,,,,,,
5,fold_5,0.731130372,0.633013029,0.462648863,0.319281146,0.629048086,0.36586758,,,,,,,,,,,,,,,,
6,mean,0.729613579,0.625370855,0.443453027,0.310583958,0.636155545,0.34218848,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.003142136,0.008667692,0.024392267,0.008154006,0.025430298,0.034710675,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,LIN28B_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.682778933,0.557025773,0.294412331,0.158861516,0.51344086,0.206374932,,,,,,,,,,,,,,,,
2,fold_2,0.681566182,0.508883961,0.050619835,0.069679492,0.590361446,0.026443605,,,,,,,,,,,,,,,,
3,fold_3,0.68953569,0.543032427,0.217467249,0.151533765,0.567198178,0.13452188,,,,,,,,,,,,,,,,
4,fold_4,0.68953569,0.564113256,0.306501548,0.180005647,0.541723666,0.213707501,,,,,,,,,,,,,,,,
5,fold_5,0.683125433,0.521021951,0.12193951,0.10013052,0.54978355,0.068574514,,,,,,,,,,,,,,,,
6,mean,0.685308385,0.538815473,0.198188095,0.132042188,0.55250154,0.129924487,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.003902169,0.023462099,0.110626434,0.045571789,0.028716939,0.082700532,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
