,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AKAP1_HepG2,acc,auc,f1,mcc,precision,recall,,,,AKAP1_HepG2,0.78036273,0.84067991,0.6522467,0.49299025,0.67537619,0.63141763,0.003429686,0.000853675,0.009338983,0.008528626,0.012963757,0.025063959
1,fold_1,0.777360851,0.839801074,0.644710579,0.483913054,0.672916667,0.618773946,,,,BCLAF1_HepG2,0.74973475,0.80504522,0.56454052,0.40402949,0.66586672,0.4908686,0.002647193,0.00423147,0.010797255,0.004655257,0.016406028,0.02427668
2,fold_2,0.78424015,0.840824964,0.66374269,0.50514339,0.675595238,0.652298851,,,,DDX3X_HepG2,0.87263099,0.92924567,0.80440593,0.710576,0.82538893,0.78447412,0.003274064,0.001267635,0.005495395,0.007704047,0.003772893,0.007381533
3,fold_3,0.777673546,0.84149733,0.647496282,0.486066271,0.671120247,0.625478927,,,,DDX3X_K562,0.84532672,0.87673282,0.75276612,0.64373112,0.80341888,0.70845771,0.003108622,0.002577336,0.007385713,0.00773427,0.010367211,0.017668697
4,fold_4,0.783927455,0.839786622,0.644364385,0.493254389,0.696329255,0.599616858,,,,DDX24_K562,0.69361823,0.67635579,0.31667808,0.20121573,0.57623997,0.21961471,0.005555921,0.015991274,0.039611034,0.025228242,0.019965005,0.037476676
5,fold_5,0.778611632,0.841489548,0.66091954,0.496574136,0.66091954,0.66091954,,,,FAM120A_K562,0.74607372,0.8017374,0.59725003,0.41849368,0.65663196,0.5495935,0.019622005,0.027922868,0.049781603,0.053873288,0.024674705,0.066968887
6,mean,0.780362727,0.840679908,0.652246695,0.492990248,0.675376189,0.631417625,,,,G3BP1_HepG2,0.68141026,0.65338499,0.24005496,0.14415295,0.54611015,0.17080868,0.004705102,0.044264098,0.140184432,0.060697547,0.044445934,0.115284267
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,GRWD1_HepG2,0.69747692,0.69781055,0.37846608,0.22909881,0.56761814,0.28658228,0.000916214,0.002891992,0.039584063,0.01436022,0.013307286,0.047271003
8,mean_std,0.003429686,0.000853675,0.009338983,0.008528626,0.012963757,0.025063959,,,,IGF2BP1_K562,0.72706553,0.78844382,0.51048958,0.34690264,0.64291005,0.42587487,0.006482068,0.00382417,0.030582317,0.019079014,0.022756447,0.047380671
9, , , , , , , ,,,,LARP4_HepG2,0.71208791,0.70842364,0.39753742,0.26446743,0.60898362,0.29647327,0.003797883,0.007584984,0.033953488,0.018298624,0.005976839,0.037839691
,Test,=,==,===,====,=====,======,,,,LIN28B_K562,0.6750469,0.69616414,0.47581378,0.24297936,0.50325474,0.45325671,0.005243596,0.004052305,0.020182414,0.009367114,0.008991722,0.042370308
0,BCLAF1_HepG2,acc,auc,f1,mcc,precision,recall,,,,PABPC4_K562,0.72057857,0.71286167,0.44219098,0.29518251,0.61287159,0.34897119,0.003352413,0.002894801,0.035137325,0.013173498,0.026764467,0.047103165
1,fold_1,0.750515768,0.805861517,0.56656426,0.405741107,0.666164961,0.492873051,,,,PPIG_HepG2,0.73202709,0.77992026,0.55010476,0.36766779,0.61737199,0.49812981,0.00195323,0.004770423,0.018533994,0.006180881,0.017047743,0.0400216
2,fold_2,0.750294724,0.804345927,0.575579211,0.408896916,0.65751073,0.511804009,,,,PUM2_K562,0.84387464,0.91613622,0.77989186,0.66089939,0.7497353,0.81319372,0.004925614,0.002277213,0.003828296,0.006830959,0.016386783,0.017932988
3,fold_3,0.753168288,0.811847316,0.554165558,0.407015415,0.688492063,0.463697105,,,,RBM15_K562,0.72268989,0.7449857,0.46001824,0.31014315,0.62454405,0.36587183,0.006449161,0.007228768,0.03696771,0.024689236,0.009552878,0.045813491
4,fold_4,0.748747421,0.801224797,0.552493438,0.397603207,0.672523962,0.468819599,,,,RPS3_HepG2,0.72612613,0.78381825,0.53446655,0.34926209,0.60421171,0.48054968,0.00573874,0.002812747,0.017541987,0.013077467,0.016321683,0.033666043
5,fold_5,0.745947539,0.801946531,0.573900148,0.400890802,0.644641866,0.51714922,,,,SND1_HepG2,0.71205674,0.73356901,0.42551755,0.25819108,0.54511935,0.35537634,0.003230996,0.003916209,0.048687793,0.017674263,0.022050708,0.07012071
6,mean,0.749734748,0.805045218,0.564540523,0.404029489,0.665866716,0.490868597,,,,UCHL5_K562,0.69910645,0.73584904,0.51231477,0.30103728,0.55851898,0.4779523,0.00245709,0.00145262,0.03976732,0.02709918,0.00667689,0.07438983
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,UPF1_HepG2,0.8039627,0.86024186,0.69501565,0.55222883,0.72333515,0.66969168,0.002611202,0.001564575,0.01114233,0.009620256,0.011261525,0.029166267
8,mean_std,0.002647193,0.00423147,0.010797255,0.004655257,0.016406028,0.02427668,,,,UPF1_K562,0.75779314,0.81004317,0.60669634,0.43771376,0.66723183,0.55667096,0.000484233,0.001605787,0.00827868,0.004100182,0.007824556,0.019550374
9, , , , , , , ,,,,YBX3_K562,0.70884731,0.66835476,0.20628171,0.14688051,0.54477171,0.13097,0.001676543,0.006124389,0.063534278,0.021814823,0.02664822,0.051401526
,Test,=,==,===,====,=====,======,,,,ZNF622_K562,0.70631645,0.7126291,0.40732878,0.27100015,0.62491791,0.30369677,0.004746898,0.007129622,0.036572551,0.019490362,0.008075157,0.039982669
0,DDX3X_HepG2,acc,auc,f1,mcc,precision,recall,,,,AVG.,0.741555171,0.769656045,0.514094381,0.365856545,0.633837678,0.455386198,0.004382203,0.007147226,0.032131316,0.017876243,0.016010838,0.04264232
1,fold_1,0.87458194,0.929874756,0.807363014,0.714997025,0.828646749,0.787145242,,,,,,,,,,,,,,,,
