,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AKAP1_HepG2,acc,auc,f1,mcc,precision,recall,,,AKAP1_HepG2,0.788674794,0.843933473,0.659688949,0.51194255,0.71362084,0.616191718,0.006746038,0.006721653,0.022822016,0.018629828,0.025060217,0.050154989
1,fold_1,0.78647267,0.849786414,0.673088501,0.514904891,0.687576876,0.659198113,,,BCLAF1_HepG2,0.733382312,0.786854517,0.550022531,0.37337148,0.638200587,0.484787379,0.001837175,0.001937608,0.017079896,0.00713482,0.015417051,0.035462781
2,fold_2,0.787652379,0.841060151,0.628099174,0.498667641,0.753719008,0.53837072,,,DDX3X_HepG2,0.869092169,0.922687586,0.796911874,0.70090207,0.815632007,0.779222225,0.00671621,0.010027504,0.009839684,0.014905847,0.015258056,0.012697929
3,fold_3,0.78647267,0.838532448,0.655675333,0.505219675,0.709190672,0.609669811,,,DDX3X_K562,0.839179487,0.876312939,0.727653037,0.619038276,0.791359567,0.674390263,0.008145618,0.003821081,0.018560288,0.021112665,0.017598389,0.034258668
4,fold_4,0.800235942,0.852427955,0.68872549,0.54296564,0.717752235,0.661955241,,,DDX24_K562,0.704249292,0.702876071,0.431934547,0.269166407,0.59222873,0.340618667,0.00241988,0.005980593,0.015519125,0.006467986,0.012016146,0.022559452
5,fold_5,0.782540307,0.837860394,0.652856246,0.497954905,0.69986541,0.611764706,,,FAM120A_K562,0.757035553,0.819620068,0.597567832,0.430419801,0.662490785,0.544905412,0.008726585,0.00995766,0.014724596,0.02030843,0.022715032,0.022714241
6,mean,0.788674794,0.843933473,0.659688949,0.51194255,0.71362084,0.616191718,,,G3BP1_HepG2,0.68528481,0.667979243,0.37280993,0.207136217,0.542900083,0.284586747,0.011394877,0.010380023,0.018223285,0.027789643,0.036555478,0.018605272
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,GRWD1_HepG2,0.694140225,0.68787917,0.374566109,0.226900259,0.574165245,0.278961825,0.003337073,0.005157657,0.02340117,0.010735178,0.014778713,0.028041679
8,mean_std,0.006746038,0.006721653,0.022822016,0.018629828,0.025060217,0.050154989,,,IGF2BP1_K562,0.735278515,0.783569658,0.546196325,0.369150727,0.622581403,0.487439892,0.009902149,0.012444986,0.026979176,0.028191761,0.018097829,0.038140954
9, , , , , , , ,,,LARP4_HepG2,0.719043321,0.709490417,0.396065426,0.263350635,0.594254344,0.299404857,0.006025678,0.011590954,0.028424106,0.014649132,0.033038142,0.038433994
,Test,=,==,===,====,=====,======,,,LIN28B_K562,0.680207882,0.610448775,0.200153699,0.102485941,0.470695779,0.128511939,0.003472814,0.011149504,0.04037344,0.019418487,0.022309257,0.033376522
0,BCLAF1_HepG2,acc,auc,f1,mcc,precision,recall,,,PABPC4_K562,0.728194726,0.72534958,0.449089774,0.305726424,0.616407465,0.354663212,0.009715156,0.011514971,0.026786382,0.026167912,0.032929526,0.033446288
1,fold_1,0.733584351,0.784707843,0.576681745,0.385780243,0.620603015,0.538566367,,,PPIG_HepG2,0.728474011,0.760066398,0.513752436,0.343501381,0.619841748,0.441614833,0.00367054,0.002536836,0.022949352,0.006421151,0.022503407,0.047424923
