,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
5,fold_5,0.746548323,0.637775094,0.458947368,0.360914134,0.721854305,0.336419753,,,TIA1,0.874274274,0.789081977,0.672588043,0.596354262,0.702122917,0.647,0.004510062,0.019639396,0.023394162,0.02322805,0.009479474,0.045634417
6,mean,0.736686391,0.631456432,0.443898997,0.33973705,0.696779248,0.339917695,,,TIAL1,0.851703407,0.730790727,0.588561049,0.504464898,0.663839134,0.529,0.007729082,0.008210738,0.016345419,0.022702429,0.030628203,0.012942179
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,U2AF65,0.9024,0.824625,0.739543626,0.682486896,0.791716571,0.695,0.0092358,0.0230895,0.030561208,0.033789894,0.01997203,0.047565744
8,mean_std,0.005894287,0.028270369,0.070630736,0.022258803,0.064291786,0.109122872,,,Y2AF65,0.865731463,0.765790727,0.641178733,0.561501582,0.690552962,0.599,0.001227199,0.008101141,0.008269221,0.006375467,0.011510753,0.021908902
9, , , , , , , ,,,AVG.,0.849673823,0.737413694,0.594465612,0.518402082,0.69526159,0.537723107,0.005672381,0.014836498,0.025080027,0.02287507,0.028683422,0.037593891
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,Binding_1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.832665331,0.636829574,0.426116838,0.380541542,0.681318681,0.31,,,,,,,,,,,,,,,
2,fold_2,0.840681363,0.647462406,0.44982699,0.414238833,0.730337079,0.325,,,,,,,,,,,,,,,
3,fold_3,0.833667335,0.643076441,0.439189189,0.388486277,0.677083333,0.325,,,,,,,,,,,,,,,
4,fold_4,0.834669339,0.638082707,0.429065744,0.387890181,0.696629213,0.31,,,,,,,,,,,,,,,
5,fold_5,0.834669339,0.638082707,0.429065744,0.387890181,0.696629213,0.31,,,,,,,,,,,,,,,
6,mean,0.835270541,0.640706767,0.434652901,0.391809403,0.696399504,0.316,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.003136769,0.004473757,0.009825069,0.012959628,0.020930899,0.008215838,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,Binding_2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.830830831,0.620607009,0.389891697,0.361892936,0.701298701,0.27,,,,,,,,,,,,,,,
2,fold_2,0.834834835,0.624984355,0.4,0.379583583,0.733333333,0.275,,,,,,,,,,,,,,,
3,fold_3,0.836836837,0.641229662,0.435986159,0.39676066,0.707865169,0.315,,,,,,,,,,,,,,,
4,fold_4,0.81981982,0.613723404,0.375,0.321120263,0.613636364,0.27,,,,,,,,,,,,,,,
5,fold_5,0.828828829,0.619355444,0.387096774,0.353959162,0.683544304,0.27,,,,,,,,,,,,,,,
6,mean,0.83023023,0.623979975,0.397594926,0.362663321,0.687935574,0.28,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006624782,0.010446541,0.02323657,0.028509233,0.045211653,0.01968502,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,eIF4AIII_1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.905432596,0.804275819,0.729885057,0.685340891,0.858108108,0.635,,,,,,,,,,,,,,,
2,fold_2,0.913480885,0.841108312,0.770053476,0.71972402,0.827586207,0.72,,,,,,,,,,,,,,,
3,fold_3,0.900402414,0.825440806,0.73878628,0.679081551,0.782122905,0.7,,,,,,,,,,,,,,,
4,fold_4,0.907444668,0.829848866,0.752688172,0.699149592,0.813953488,0.7,,,,,,,,,,,,,,,
