,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AGO1234,acc,auc,f1,mcc,precision,recall,,,,AGO1234,0.8008,0.74528375,0.099203634,0.116820034,0.518432367,0.055,0.001923538,0.009680166,0.019689765,0.021404733,0.049867868,0.011726039
1,fold_1,0.803,0.7429,0.116591928,0.14009031,0.565217391,0.065,,,,AGO2,0.8038,0.6326925,0.071967534,0.121154452,0.731750572,0.039,0.00212132,0.007828183,0.041936796,0.035442051,0.050272303,0.024135037
2,fold_2,0.8,0.73784375,0.107142857,0.117609384,0.5,0.06,,,,AGO2-M,0.785785786,0.669047559,0.106231692,0.070004468,0.360272618,0.064,0.015684124,0.00752769,0.022345505,0.043132848,0.106507177,0.015572412
3,fold_3,0.798,0.74675,0.073394495,0.082737175,0.444444444,0.04,,,,Binding_1,0.841409692,0.638383821,0.429767526,0.405709182,0.745529277,0.30242915,0.00549841,0.010892461,0.02455787,0.02638013,0.0426115,0.022432219
4,fold_4,0.802,0.7377,0.083333333,0.115560779,0.5625,0.045,,,,Binding_2,0.837214886,0.651721506,0.453444367,0.403928868,0.687106445,0.344939271,0.006354864,0.01863474,0.03079643,0.00348749,0.065031598,0.059615299
5,fold_5,0.801,0.761225,0.115555556,0.128102523,0.52,0.065,,,,eIF4AIII_1,0.891032826,0.80975761,0.709572649,0.64542645,0.751417097,0.675303644,0.005260824,0.020694034,0.021400711,0.020709154,0.031386813,0.051641259
6,mean,0.8008,0.74528375,0.099203634,0.116820034,0.518432367,0.055,,,,eIF4AIII_2,0.897478992,0.826118408,0.73177218,0.669253253,0.757592975,0.708097166,0.005408826,0.013316515,0.017085419,0.019687286,0.013732062,0.027733532
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,ELVAL1-1,0.859054487,0.77521163,0.640983422,0.554659064,0.648960947,0.636437247,0.007898829,0.014390917,0.014803575,0.015895067,0.033293524,0.043335916
8,mean_std,0.001923538,0.009680166,0.019689765,0.021404733,0.049867868,0.011726039,,,,ELVAL1-2,0.892393915,0.839738943,0.73412188,0.668314506,0.719597121,0.752631579,0.005499124,0.01929571,0.015220494,0.018666892,0.031651616,0.051914296
9, , , , , , , ,,,,ELVAL1-A,0.869947979,0.78943441,0.665598157,0.585612996,0.676790287,0.656275304,0.002926919,0.017278419,0.018209464,0.01859382,0.010681958,0.042108183
,Test,=,==,===,====,=====,======,,,,ELVAL1-M,0.8038,0.66216875,0.13158094,0.152702357,0.581365915,0.075,0.00363318,0.020049403,0.036939421,0.031164923,0.073585546,0.023717082
0,AGO2,acc,auc,f1,mcc,precision,recall,,,,EWSR1,0.873309324,0.774138035,0.655695297,0.581184514,0.70905431,0.610121457,0.004922131,0.005407838,0.009939911,0.013645009,0.020723935,0.011142801
1,fold_1,0.805,0.6467125,0.109589041,0.150155954,0.631578947,0.06,,,,FUS,0.900080064,0.850477991,0.752259408,0.691265881,0.740058327,0.768421053,0.007247897,0.019585496,0.01805348,0.0208058,0.035527072,0.050578939
2,fold_2,0.804,0.63915,0.057692308,0.123478645,0.75,0.03,,,,hnRNPC-1,0.910825982,0.857447747,0.773155721,0.718215564,0.778555575,0.769168357,0.004824895,0.012256046,0.012249078,0.014831021,0.025492914,0.031141023
3,fold_3,0.802,0.64518125,0.038834951,0.090641946,0.666666667,0.02,,,,hnRNPC-2,0.928605769,0.883981808,0.817652728,0.773945184,0.826927449,0.810121457,0.002737877,0.015071295,0.011203327,0.011899238,0.020510861,0.037364495
4,fold_4,0.807,0.62846875,0.134529148,0.173445145,0.652173913,0.075,,,,hnRNPL-1,0.764164164,0.663073842,0.157813267,0.059300156,0.28557947,0.111,0.016638913,0.011029626,0.02353037,0.030291616,0.047827446,0.021908902
5,fold_5,0.802,0.6469125,0.048076923,0.095415317,0.625,0.025,,,,hnRNPL-2,0.791991992,0.615677096,0.060609897,0.051806545,0.380227273,0.034,0.009585597,0.008469481,0.01991428,0.036213172,0.168229245,0.012942179
6,mean,0.8038,0.6326925,0.071967534,0.121154452,0.731750572,0.039,,,,HnRNPL-L,0.803446894,0.508522257,0.038821996,0.079802943,0.611650822,0.020242915,0.002330171,0.006330249,0.025717173,0.039817185,0.11049081,0.013654593
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,IGF2BP1-3,0.800600601,0.736868586,0.120063671,0.133988836,0.548718845,0.069,0.003966289,0.004675313,0.034979388,0.01377011,0.101472068,0.024341323
8,mean_std,0.00212132,0.007828183,0.041936796,0.035442051,0.050272303,0.024135037,,,,MOV10,0.81961962,0.844100125,0.41364399,0.341478422,0.595594997,0.32,0.007369434,0.004051034,0.039114629,0.02962491,0.03998471,0.048347699
9, , , , , , , ,,,,mut-FUS,0.909767814,0.890377342,0.789964572,0.737500289,0.733394406,0.858299595,0.003804096,0.012669089,0.005206588,0.007222002,0.026372927,0.038006039
,Test,=,==,===,====,=====,======,,,,NSUN2,0.806322529,0.592805638,0.321543054,0.258518347,0.534464162,0.239676113,0.005942074,0.028313285,0.065718167,0.030278851,0.040248205,0.083911705
