,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AGO1234,acc,auc,f1,mcc,precision,recall,,,AGO1234,0.8026,0.719695,0.149038733,0.155389725,0.545619225,0.087,0.001516575,0.01350662,0.027658418,0.012996681,0.032083761,0.019874607
1,fold_1,0.804,0.720075,0.125,0.150278657,0.583333333,0.07,,,AGO2,0.8022,0.63326375,0.053442462,0.100658806,0.63015873,0.028,0.003114482,0.014904344,0.019397026,0.042254456,0.178315513,0.010368221
2,fold_2,0.801,0.74255,0.194331984,0.172463615,0.510638298,0.12,,,AGO2-M,0.760346696,0.732644828,0.64477315,0.464787054,0.642891291,0.648223958,0.006645391,0.008953365,0.012738415,0.013253117,0.016854237,0.036565374
3,fold_3,0.801,0.7161625,0.131004367,0.137062681,0.517241379,0.075,,,Binding_1,0.858917836,0.887840852,0.594241488,0.520323242,0.700482017,0.517,0.006111403,0.007603906,0.029205582,0.027584964,0.012415204,0.040865633
4,fold_4,0.804,0.7104125,0.140350877,0.15760181,0.571428571,0.08,,,Binding_2,0.844044044,0.870931164,0.527717794,0.454462975,0.670806948,0.436,0.00455428,0.004244126,0.021081534,0.018832246,0.023426372,0.030700163
5,fold_5,0.803,0.709275,0.154506438,0.159541861,0.545454545,0.09,,,eIF4AIII_1,0.917907445,0.947187657,0.791721696,0.741172492,0.808891467,0.776,0.004419695,0.003975733,0.012674623,0.014959503,0.018202628,0.027018512
6,mean,0.8026,0.719695,0.149038733,0.155389725,0.545619225,0.087,,,eIF4AIII_2,0.911534604,0.955058971,0.77031612,0.716925877,0.804161213,0.74,0.003123854,0.004809957,0.0099136,0.010930389,0.018158608,0.025739075
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,ELVAL1-1,0.871142285,0.91912782,0.632958006,0.566067412,0.73894657,0.556,0.002612907,0.003849837,0.01877333,0.01273893,0.030354213,0.042041646
8,mean_std,0.001516575,0.01350662,0.027658418,0.012996681,0.032083761,0.019874607,,,ELVAL1-2,0.903503504,0.925095119,0.734736441,0.681777706,0.816900426,0.668,0.005277848,0.003990453,0.016713382,0.018600719,0.017423288,0.024135037
9, , , , , , , ,,,ELVAL1-A,0.865931864,0.89429198,0.579615668,0.530832632,0.774894328,0.467,0.011672379,0.006196344,0.060201263,0.05171496,0.018378809,0.079577007
,Test,=,==,===,====,=====,======,,,ELVAL1-M,0.8032,0.62747875,0.10238249,0.132209359,0.582554055,0.057,0.00349285,0.014397325,0.044401999,0.049396449,0.134773977,0.026124701
0,AGO2,acc,auc,f1,mcc,precision,recall,,,EWSR1,0.8786,0.89966375,0.656149434,0.592495375,0.75435925,0.584,0.011970798,0.007005466,0.050902721,0.04951256,0.032784093,0.071711226
1,fold_1,0.8,0.64784375,0.065420561,0.089368985,0.5,0.035,,,FUS,0.895390782,0.931845865,0.722072288,0.660261934,0.771743099,0.679,0.007972074,0.005460248,0.024625791,0.028260647,0.021514409,0.034351128
2,fold_2,0.799,0.643725,0.028985507,0.04797736,0.428571429,0.015,,,hnRNPC-1,0.922,0.96018375,0.801196734,0.752991892,0.817181616,0.786,0.003741657,0.002459407,0.00986621,0.012065319,0.011926024,0.015165751
3,fold_3,0.803,0.63808125,0.057416268,0.111181164,0.666666667,0.03,,,hnRNPC-2,0.935,0.97609,0.834077117,0.794059684,0.85216583,0.817,0.002915476,0.002200034,0.007721416,0.009294109,0.012657943,0.015247951
4,fold_4,0.802,0.62531875,0.038834951,0.090641946,0.666666667,0.02,,,hnRNPL-1,0.777177177,0.654013767,0.121097011,0.056696054,0.307930535,0.077,0.013772406,0.013408561,0.020635037,0.036723615,0.085244128,0.015247951
5,fold_5,0.807,0.61135,0.076555024,0.164124576,0.888888889,0.04,,,hnRNPL-2,0.772972973,0.613155194,0.134767039,0.059504416,0.304161928,0.089,0.017558939,0.01068768,0.020645476,0.034210058,0.076601817,0.019493589
6,mean,0.8022,0.63326375,0.053442462,0.100658806,0.63015873,0.028,,,HnRNPL-L,0.8032,0.657755,0.155987006,0.161633686,0.550416667,0.091,0.004147288,0.007901979,0.018386523,0.027577696,0.064657216,0.011401754
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,IGF2BP1-3,0.798798799,0.707426783,0.094324215,0.106033547,0.498119681,0.053,0.002918394,0.018868553,0.028999276,0.006781122,0.058746096,0.01890767
8,mean_std,0.003114482,0.014904344,0.019397026,0.042254456,0.178315513,0.010368221,,,MOV10,0.816816817,0.836296621,0.324131939,0.290920852,0.623955281,0.224,0.005482708,0.003735211,0.070188331,0.042698423,0.047593321,0.065230361
9, , , , , , , ,,,mut-FUS,0.9016,0.940225,0.724935558,0.673287151,0.817392115,0.654,0.011371016,0.001716305,0.045611765,0.044993356,0.005776333,0.071274119
,Test,=,==,===,====,=====,======,,,NSUN2,0.8132,0.80662625,0.459119428,0.359520577,0.550844856,0.401,0.006723095,0.00900837,0.038900316,0.025801222,0.041055382,0.072059004
0,AGO2-M,acc,auc,f1,mcc,precision,recall,,,PUM2,0.9312,0.97364625,0.821315328,0.779825561,0.854458538,0.791,0.002774887,0.001587522,0.008749541,0.009987979,0.011430252,0.019811613
1,fold_1,0.761141206,0.72657948,0.635833058,0.458532202,0.650811542,0.621528525,,,QKI,0.942685371,0.956385965,0.856831633,0.821285002,0.85937334,0.855,0.010801213,0.004111871,0.026163602,0.032721416,0.035824526,0.028284271
2,fold_2,0.755507403,0.719956287,0.626997245,0.445640691,0.643228578,0.611564918,,,SFRS1,0.866666667,0.890788486,0.628639038,0.554605444,0.71147763,0.564,0.00390262,0.00487655,0.010347632,0.011360775,0.023678542,0.023291629
3,fold_3,0.764608162,0.737164089,0.651108018,0.473506234,0.648815874,0.653416416,,,TAF1S,0.8862,0.9357175,0.668696529,0.615643353,0.791935183,0.587,0.015610894,0.013019917,0.071262428,0.066611521,0.025545575,0.113940774
4,fold_4,0.752040448,0.740512943,0.656596979,0.466736483,0.614146707,0.705351386,,,TDP-43,0.899599198,0.917566416,0.724776521,0.669650581,0.805719289,0.66,0.003353347,0.003765869,0.007968108,0.009300675,0.030785809,0.027156951
5,fold_5,0.768436259,0.739011343,0.65333045,0.47951966,0.657453754,0.649258543,,,TIA1,0.873073073,0.918445557,0.619163989,0.564620283,0.77677053,0.519,0.005024985,0.004105896,0.03526862,0.023762664,0.038857919,0.060145657
6,mean,0.760346696,0.732644828,0.64477315,0.464787054,0.642891291,0.648223958,,,TIAL1,0.859719439,0.878368421,0.566936595,0.509675,0.743253942,0.46,0.004367634,0.006369251,0.029364533,0.022062942,0.018854255,0.043445368
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,U2AF65,0.9172,0.9597375,0.774086149,0.728832162,0.849267682,0.713,0.007854935,0.005387766,0.029623286,0.030177877,0.00835159,0.055294665
8,mean_std,0.006645391,0.008953365,0.012738415,0.013253117,0.016854237,0.036565374,,,Y2AF65,0.87755511,0.921714286,0.655810239,0.591084094,0.750811023,0.586,0.006623845,0.004780007,0.033700391,0.030836773,0.027707171,0.065802736
9, , , , , , , ,,,AVG.,0.861612377,0.853169944,0.545969608,0.497007546,0.70024659,0.489362063,0.006497738,0.006996402,0.027796457,0.026709779,0.038063839,0.039041101
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,Binding_1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.855711423,0.898634085,0.576470588,0.504145859,0.7,0.49,,,,,,,,,,,,,,,
2,fold_2,0.861723447,0.889912281,0.607954545,0.533200256,0.703947368,0.535,,,,,,,,,,,,,,,
3,fold_3,0.867735471,0.884962406,0.629213483,0.556507364,0.717948718,0.56,,,,,,,,,,,,,,,
