,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
5,fold_5,0.863727455,0.913189223,0.654822335,0.570055589,0.664948454,0.645,,,,TIA1,0.85725726,0.89582228,0.65601811,0.57066333,0.63625233,0.687,0.007643087,0.005466494,0.036282609,0.0393063,0.035787314,0.098653434
6,mean,0.866933868,0.913033835,0.650967714,0.571643764,0.688232146,0.621,,,,TIAL1,0.82945892,0.86851754,0.5663905,0.46251678,0.57959772,0.559,0.007806634,0.008455024,0.030333132,0.0270447,0.028308215,0.064845971
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,U2AF65,0.8772,0.92364375,0.71609856,0.64203349,0.66805118,0.774,0.006978539,0.000779974,0.005245421,0.007010973,0.029290048,0.032672619
8,mean_std,0.005729851,0.004260157,0.019781208,0.020089181,0.032848061,0.052129646,,,,Y2AF65,0.84228457,0.88160777,0.62240349,0.52568464,0.59873217,0.653,0.007650745,0.005963956,0.034441975,0.03706471,0.021183932,0.076370806
9, , , , , , , ,,,,AVG.,0.844876296,0.862272903,0.532072355,0.462909096,0.651060387,0.47816129,0.005489549,0.003867546,0.039451488,0.029487325,0.032147262,0.060990651
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,Binding_1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.824649299,0.685407268,0.368231047,0.333666237,0.662337662,0.255,,,,,,,,,,,,,,,,
2,fold_2,0.824649299,0.686109023,0.368231047,0.333666237,0.662337662,0.255,,,,,,,,,,,,,,,,
3,fold_3,0.821643287,0.683233083,0.325757576,0.308310686,0.671875,0.215,,,,,,,,,,,,,,,,
4,fold_4,0.818637275,0.684116541,0.369337979,0.315587423,0.609195402,0.265,,,,,,,,,,,,,,,,
5,fold_5,0.817635271,0.68808584,0.277777778,0.276843203,0.673076923,0.175,,,,,,,,,,,,,,,,
6,mean,0.821442886,0.685390351,0.341867085,0.313614757,0.65576453,0.233,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.003277641,0.001874755,0.040347623,0.02338961,0.02652528,0.037682887,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,Binding_2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.808808809,0.674427409,0.3003663,0.253614231,0.561643836,0.205,,,,,,,,,,,,,,,,
2,fold_2,0.80980981,0.679192741,0.27480916,0.244565384,0.580645161,0.18,,,,,,,,,,,,,,,,
3,fold_3,0.806806807,0.671821026,0.271698113,0.233146572,0.553846154,0.18,,,,,,,,,,,,,,,,
4,fold_4,0.807807808,0.675250313,0.28358209,0.242211776,0.558823529,0.19,,,,,,,,,,,,,,,,
5,fold_5,0.814814815,0.671952441,0.238683128,0.251339523,0.674418605,0.145,,,,,,,,,,,,,,,,
6,mean,0.80960961,0.674528786,0.273827758,0.244975497,0.585875457,0.18,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.0031176,0.003010518,0.022583649,0.008106454,0.050527467,0.022079402,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,eIF4AIII_1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.800804829,0.809376574,0.321917808,0.246683525,0.510869565,0.235,,,,,,,,,,,,,,,,
2,fold_2,0.809859155,0.815736776,0.354948805,0.286841113,0.559139785,0.26,,,,,,,,,,,,,,,,
3,fold_3,0.807847082,0.812959698,0.245059289,0.227140337,0.58490566,0.155,,,,,,,,,,,,,,,,
4,fold_4,0.800804829,0.813356423,0.407185629,0.301542218,0.507462687,0.34,,,,,,,,,,,,,,,,
5,fold_5,0.801810865,0.814017632,0.390092879,0.291506387,0.512195122,0.315,,,,,,,,,,,,,,,,
6,mean,0.804225352,0.813089421,0.343840882,0.270742716,0.534914564,0.261,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.004303672,0.002331492,0.064252655,0.032089367,0.035120904,0.072577545,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,eIF4AIII_2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.836509529,0.866825596,0.485804416,0.416591726,0.658119658,0.385,,,,,,,,,,,,,,,,
2,fold_2,0.846539619,0.865407779,0.543283582,0.467906199,0.674074074,0.455,,,,,,,,,,,,,,,,
3,fold_3,0.836509529,0.864372647,0.504559271,0.426287382,0.643410853,0.415,,,,,,,,,,,,,,,,
4,fold_4,0.839518556,0.863826851,0.576719577,0.479358935,0.612359551,0.545,,,,,,,,,,,,,,,,
5,fold_5,0.846539619,0.865897114,0.566572238,0.481633792,0.653594771,0.5,,,,,,,,,,,,,,,,
6,mean,0.84112337,0.865265997,0.535387817,0.454355607,0.648311781,0.46,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.005094654,0.001195824,0.039217466,0.030687214,0.022936773,0.064226163,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,ELVAL1-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.845691383,0.897437343,0.607142857,0.511347525,0.619791667,0.595,,,,,,,,,,,,,,,,
2,fold_2,0.845691383,0.89839599,0.601036269,0.50605156,0.623655914,0.58,,,,,,,,,,,,,,,,
3,fold_3,0.843687375,0.898045113,0.551724138,0.467254728,0.648648649,0.48,,,,,,,,,,,,,,,,
4,fold_4,0.847695391,0.899310777,0.577777778,0.490769549,0.65,0.52,,,,,,,,,,,,,,,,
5,fold_5,0.848697395,0.895501253,0.634382567,0.539538099,0.615023474,0.655,,,,,,,,,,,,,,,,
6,mean,0.846292585,0.897738095,0.594412722,0.502992292,0.631423941,0.566,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.001953265,0.001422527,0.031235208,0.026652082,0.016631205,0.067952189,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,ELVAL1-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
